StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-03-27 06:09:56,2025-03-27 06:15:10,IP Address,80.113.224.229,100,314,True,2025-03-27 06:15:11,R_8cQEtQxahXWzfwJ,,,,,52.3346,4.8914,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Germany,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,6,5,3,2,Very little,News websites,Yes,3,No,Maybe,Maybe,,3,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 06:09:40,2025-03-27 06:16:25,IP Address,80.113.228.4,100,405,True,2025-03-27 06:16:26,R_2Mogogu8uzxbSNt,,,,,52.3385,4.9168,anonymous,EN,0.699999988079071,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,6,3,2,4,Very little,"Social media,News websites,Word of mouth",No,5,Yes,Yes,"Yes, definitely",,4,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 06:13:42,2025-03-27 06:17:01,IP Address,77.63.50.151,100,198,True,2025-03-27 06:17:01,R_2cdStTzpKaxMk81,,,,,52.364,4.866,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,2,6,4,3,Somewhat,"Social media,News websites,Word of mouth",No,8,No,Yes,"Yes, definitely",,6,"Interactive maps,Educational information,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 06:19:51,2025-03-27 06:27:00,IP Address,146.50.239.221,100,429,True,2025-03-27 06:27:01,R_3FmIrenB5K0Wwv6,,,,,52.3471,4.8508,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,ICT,,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,5,1,4,6,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",Yes,5,Yes,No,Maybe,"Own habits that could be changed to better water quality ",0,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 06:32:56,2025-03-27 06:38:12,IP Address,59.149.62.72,100,315,True,2025-03-27 06:38:13,R_9lA3YitvdNnVWCJ,,,,,22.3346,114.2536,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Hong Kong (S.A.R.),Bachelor’s degree,Urban,"Other, please specify...",Communications,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,5,3,6,4,Very little,"Social media,News websites,TV/radio",Yes,2,No,Maybe,Maybe,"How to improve accessibility in low income areas, how government bodies conduct water management, how taxes fit into the process, how to better contribute to maintaining water quality to preserve ecology/marine wildlife/drinking supply",3,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Health and Safety,Local impact,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-27 06:57:25,2025-03-27 07:00:15,IP Address,80.113.225.185,100,170,True,2025-03-27 07:00:16,R_3LYnjXfStjCEmsw,,,,,52.3346,4.8914,anonymous,EN,0.800000011920929,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,1,4,5,6,Not at all,"Social media,News websites",Yes,6,Yes,No,"No, not interested",,2,Tools to report or monitor water issues locally,No,No,Local impact,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 06:56:03,2025-03-27 07:05:08,IP Address,82.217.202.157,100,545,True,2025-03-27 07:05:09,R_3CqjmFJ2r3EUqNI,,,,,52.2177,6.9566,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,6,3,2,5,1,Very little,"Social media,TV/radio",No,6,No,Maybe,Maybe,"diseases and long term water availability ",6,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 07:04:08,2025-03-27 07:07:50,IP Address,87.213.8.200,100,221,True,2025-03-27 07:07:50,R_2JLwMFuZggD9xQp,,,,,52.0746,4.6603,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not knowledgeable at all,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,I am unsure.,2,3,6,4,5,1,Somewhat,"Word of mouth,Educational platforms,I don’t usually seek out this information",No,5,Yes,Yes,Maybe,I dont really care but if there was a good awareness tool I would maybe,7,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 06:59:16,2025-03-27 07:09:09,IP Address,203.160.80.10,100,593,True,2025-03-27 07:09:10,R_4dyrzhUW1UNspvr,,,,,22.2578,114.1657,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Healthcare,,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,4,3,6,1,Somewhat,"Social media,News websites,TV/radio",No,6,No,Maybe,Maybe,,4,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Health and Safety,Local impact,Personal interest/hobby",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 06:58:16,2025-03-27 07:11:02,IP Address,84.10.153.60,100,765,True,2025-03-27 07:11:02,R_1sQKN4JYwLvcfhK,,,,,52.2608,20.9164,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Poland,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,5,4,1,6,Somewhat,"Social media,News websites,TV/radio",No,4,No,Yes,"Yes, definitely",How my personal choices and habits impact the water quality and what can I change in my daily life to improve the water quality,6,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 07:08:57,2025-03-27 07:12:27,IP Address,146.50.229.107,100,209,True,2025-03-27 07:12:27,R_2j9iHVexdimWZp4,,,,,52.67,4.7103,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.,I am unsure.",1,2,3,4,5,6,Somewhat,"Social media,TV/radio,Educational platforms,I don’t usually seek out this information",No,4,Yes,Maybe,Maybe,,4,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 07:10:51,2025-03-27 07:15:11,IP Address,188.91.29.42,100,259,True,2025-03-27 07:15:11,R_85SLpSUpsSBufi4,,,,,51.6831,5.3199,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,I am unsure.",5,4,6,2,3,1,Not at all,"Social media,News websites,Word of mouth,I don’t usually seek out this information",No,4,No,No,Maybe,Impacts on bad water quality,5,"Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
