Finished,Q_RecaptchaScore,Participate,Age,Country of Residence,Level of Education,Living Area,Occupation,General Awareness,Seriousness of City Water Quality,Awareness of city Management,Ppl with no Drinking Water 2023,Causes of Poor Water Quality,Agriculture,Global Warming,Industrial Waste,Marine Dumping of Garbage,Oil Leaks and Spills,Sewage and Wastewater,Attention given to Water on the News,Source of Awareness,Know of Urban Aquatic Ecosystem,Interest in Water Quality Management,Participated in Water Conservation Actitivites,Interest in Learning More,Interest in Learning more about City,What would you want to learn about,Likelihood in using digital platform,Features of Platform,Interested in Contributing to Platform,Interest in joining Community,Motivations to engage with environmental causes,Unanswered Percentage
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Education,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,5.0,1.0,6.0,Very little,"Social media,Word of mouth",No,1.0,No,Maybe,Maybe,How to improve it,6.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Germany,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,6.0,5.0,3.0,2.0,Very little,News websites,Yes,3.0,No,Maybe,Maybe,,3.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,0.699999988079071,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,6.0,3.0,2.0,4.0,Very little,"Social media,News websites,Word of mouth",No,5.0,Yes,Yes,"Yes, definitely",,4.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,2.0,6.0,4.0,3.0,Somewhat,"Social media,News websites,Word of mouth",No,8.0,No,Yes,"Yes, definitely",,6.0,"Interactive maps,Educational information,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,ICT,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,5.0,1.0,4.0,6.0,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",Yes,5.0,Yes,No,Maybe,Own habits that could be changed to better water quality ,0.0,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,25 - 34,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Communications,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,5.0,3.0,6.0,4.0,Very little,"Social media,News websites,TV/radio",Yes,2.0,No,Maybe,Maybe,"How to improve accessibility in low income areas, how government bodies conduct water management, how taxes fit into the process, how to better contribute to maintaining water quality to preserve ecology/marine wildlife/drinking supply",3.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Health and Safety,Local impact,Global Climate Change",0.0384615384615384
True,0.800000011920929,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,1.0,4.0,5.0,6.0,Not at all,"Social media,News websites",Yes,6.0,Yes,No,"No, not interested",,2.0,Tools to report or monitor water issues locally,No,No,Local impact,0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,6.0,3.0,2.0,5.0,1.0,Very little,"Social media,TV/radio",No,6.0,No,Maybe,Maybe,diseases and long term water availability ,6.0,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety",0.0384615384615384
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not knowledgeable at all,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,I am unsure.,2.0,3.0,6.0,4.0,5.0,1.0,Somewhat,"Word of mouth,Educational platforms,I don’t usually seek out this information",No,5.0,Yes,Yes,Maybe,I dont really care but if there was a good awareness tool I would maybe,7.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Healthcare,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,4.0,3.0,6.0,1.0,Somewhat,"Social media,News websites,TV/radio",No,6.0,No,Maybe,Maybe,,4.0,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Health and Safety,Local impact,Personal interest/hobby",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Poland,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,5.0,4.0,1.0,6.0,Somewhat,"Social media,News websites,TV/radio",No,4.0,No,Yes,"Yes, definitely",How my personal choices and habits impact the water quality and what can I change in my daily life to improve the water quality,6.0,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.,I am unsure.",1.0,2.0,3.0,4.0,5.0,6.0,Somewhat,"Social media,TV/radio,Educational platforms,I don’t usually seek out this information",No,4.0,Yes,Maybe,Maybe,,4.0,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,I am unsure.",5.0,4.0,6.0,2.0,3.0,1.0,Not at all,"Social media,News websites,Word of mouth,I don’t usually seek out this information",No,4.0,No,No,Maybe,Impacts on bad water quality,5.0,"Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Student,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,4.0,6.0,5.0,2.0,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",Yes,7.0,No,Maybe,Maybe,,7.0,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,3.0,1.0,6.0,5.0,2.0,Very little,"Social media,Word of mouth,I don’t usually seek out this information",No,5.0,No,Maybe,Maybe,,7.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Global Climate Change,Community involvement",0.0769230769230769
True,0.699999988079071,Yes,25 - 34,Belgium,Bachelor’s degree,Urban,Tourism and Hospitality,Neutral,Somewhat serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,3.0,4.0,5.0,6.0,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,6.0,Yes,Yes,"Yes, definitely",,6.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Yes,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,0.800000011920929,Yes,25 - 34,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Rural,Healthcare,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",3.0,6.0,4.0,1.0,5.0,2.0,Not at all,"Social media,News websites",Yes,0.0,No,No,"No, not interested",,1.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,Under 18,Poland,Secondary education,Rural,Science,Neutral,Somewhat serious,"No, I am aware of nothing related to water in my city.",3.6 billion,It can disrupt aquatic ecosystems and harm marine life.,2.0,6.0,5.0,4.0,1.0,3.0,Very little,"Social media,TV/radio",No,3.0,No,Maybe,Maybe,,4.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Global Climate Change,Personal interest/hobby",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,5.0,6.0,1.0,2.0,4.0,Very little,I don’t usually seek out this information,No,3.0,No,Yes,Maybe,,2.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Turkey,Bachelor’s degree,Urban,Education,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,It can disrupt aquatic ecosystems and harm marine life.,1.0,2.0,3.0,4.0,5.0,6.0,Somewhat,Social media,Yes,6.0,No,Maybe,Maybe,,6.0,"Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Student,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,4.0,3.0,6.0,1.0,Very little,"Social media,Word of mouth",No,4.0,No,Yes,Maybe,What you can do in the individual household or about waterfilters,3.0,"Interactive maps,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.800000011920929,Yes,35 - 44,Netherlands,Master’s degree or higher,Urban,Education,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,5.0,1.0,3.0,6.0,Somewhat,"Social media,News websites",Yes,7.0,Yes,Yes,"Yes, definitely",,9.0,"Interactive maps,Visualizations of up-to-date water quality data of your city",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5.0,4.0,6.0,1.0,3.0,2.0,Somewhat,"Social media,News websites",No,7.0,Yes,Yes,"Yes, definitely",,6.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,1.0,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Education,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,5.0,3.0,1.0,6.0,Very little,"Social media,News websites,Word of mouth",No,6.0,No,Maybe,Maybe,"I'd be interested in the extent to which the water quality in Dutch cities depends on what we do here vs 'what happens upstream' before. And, related, in collaboration across borders/regions",3.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0384615384615384
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,ICT,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,2.0,6.0,3.0,5.0,Very little,"Social media,News websites,Word of mouth",Yes,4.0,No,Yes,"Yes, definitely",,5.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Student,Neutral,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,2.0,6.0,3.0,4.0,Very little,News websites,No,4.0,No,Yes,Maybe,,7.0,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",Yes,Yes,"Health and Safety,Local impact",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,5.0,4.0,6.0,2.0,1.0,Very little,"Social media,Word of mouth",No,7.0,No,Yes,"Yes, definitely",,6.0,Interactive maps,Yes,Yes,"Local impact,Personal interest/hobby,Community involvement",0.0769230769230769
True,0.699999988079071,Yes,18 - 24,Poland,Bachelor’s degree,Urban,ICT,Somewhat knowledgeable,Not serious at all,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,5.0,6.0,3.0,2.0,Not at all,I don’t usually seek out this information,No,2.0,No,Maybe,"No, not interested",,1.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,,0.1153846153846153
True,0.800000011920929,Yes,25 - 34,Croatia,Master’s degree or higher,Urban,Student,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",4.4 billion,I am unsure.,3.0,5.0,2.0,6.0,4.0,1.0,Not at all,Social media,No,2.0,No,No,"No, not interested",,,Visualizations of up-to-date water quality data of your city,No,No,"Local impact,Personal interest/hobby",0.1153846153846153
True,0.699999988079071,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Finance and Commerce,Neutral,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,6.0,1.0,3.0,5.0,Somewhat,"Social media,News websites,TV/radio,Word of mouth",Yes,6.0,No,Yes,"Yes, definitely",,6.0,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,0.800000011920929,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Healthcare,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,2.0,3.0,6.0,5.0,Very little,Social media,No,7.0,No,Maybe,Maybe,,8.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Global Climate Change",0.0769230769230769
True,0.800000011920929,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,1.0,5.0,6.0,4.0,2.0,Very little,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,5.0,No,Maybe,"Yes, definitely",,4.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Yes,"Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,1.0,Yes,18 - 24,Pakistan,Bachelor’s degree,Urban,Student,Neutral,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,5.0,4.0,6.0,3.0,Somewhat,"Social media,Word of mouth,Educational platforms",No,10.0,Yes,Yes,"Yes, definitely",,9.0,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,1.0,Yes,25 - 34,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",6.0,4.0,3.0,2.0,5.0,1.0,Very little,"Social media,News websites,Word of mouth",Yes,7.0,Yes,Yes,Maybe,,6.0,"Interactive maps,Visualizations of up-to-date water quality data of your city",No,No,"Concern for future generations,Local impact,Global Climate Change",0.0769230769230769
